id,rectype,recmass,recfalltype,reclat,reclong
11485,Valid,3710,Fell,41.38333,-86.6
11824,Valid,1000,Fell,26.8,82.53333
11829,Valid,315,Fell,28.38333,75.78333
11830,Valid,8360,Fell,32.675,-94.51167
11842,Valid,680,Fell,38.25,-86.16667
11848,Valid,1110.6,Fell,35.2945,136.70033
11852,Valid,1250,Fell,28.95,0.81667
11855,Valid,29000,Fell,51.65,-1.51667
11859,Valid,1544,Fell,60.24556,22.06194
11869,Valid,3500,Fell,55.46667,13.78333
11870,Valid,6100,Fell,27.33333,35.66667
11875,Valid,1000,Fell,10,-84.1
11878,Valid,20000,Fell,59.85,17.66667
11883,Valid,750,Fell,33.6,130.43333
11884,Valid,4500,Fell,55.9,-4.23333
11889,Valid,414,Fell,34.45,132.38333
44714,Valid,167.7,Fell,1.345,31.47278
11893,Valid,305.5,Fell,64.43333,21.2
11894,Valid,220000,Fell,34.9,-110.18333
11895,Valid,1415,Fell,9.06667,38.41667
11901,Valid,230000,Fell,41.8,-91.86667
11904,Valid,2420,Fell,21.3,-157.86667
11913,Valid,180,Fell,35.66667,115.5
11915,Valid,266.1,Fell,39.35,-100.45
11916,Valid,49000,Fell,46.1,16.33333
54719,Valid,1600,Fell,26.46469,106.63241
11986,Valid,112,Fell,50.3,8.91667
11989,Valid,14000,Fell,61.18333,22.68333
11992,Valid,2000,Fell,52.28333,7.7
11993,Valid,2500,Fell,-20,-45
11994,Valid,,Fell,38,35
11995,Valid,3973,Fell,58.2,82.93333
12000,Valid,3457,Fell,-32.1,28.33333
12003,Valid,1200,Fell,-23.2,-51.83333
12004,Valid,7330,Fell,-6.03333,145.36667
12027,Valid,27000,Fell,39.75,46.66667
12028,Valid,880,Fell,39.08333,-94.4
12037,Valid,3000,Fell,41,112
12039,Valid,4576,Fell,53.415,-111.3375
12043,Valid,7000,Fell,-25.5,-54.5
12049,Valid,1300,Fell,-8.93333,33.8
12053,Valid,3050,Fell,-31.18333,-57.95
12056,Valid,2024,Fell,-3.4,-44.33333
12058,Valid,4720,Fell,26.59083,-12.95217
12063,Valid,704.5,Fell,-8.41667,32.43333
12065,Valid,48000,Fell,-32.5,21.9
12067,Valid,973,Fell,26.75,68.41667
12068,Valid,700,Fell,,
12069,Valid,1967,Fell,31,75
12072,Valid,22,Fell,18.75,75.33333
12074,Valid,20500,Fell,39.7,105.8
12078,Valid,34000,Fell,43.83333,20.44167
12079,Valid,450,Fell,,
51589,Valid,3667,Fell,46.42137,14.05217
12085,Valid,5900,Fell,31.3,72.38333
12086,Valid,222,Fell,31.91667,104.91667
12087,Valid,600000,Fell,30.80833,109.5
12171,Valid,4000000,Fell,44.05,126.16667
47362,Valid,100,Fell,22.68,70.31333
12173,Valid,30,Fell,55.7,24.4
